name,scientific_name,photo_url,description,group_name,baby_name,top_speed,life_span,weight,height,length,habitat,predators,prey,fun_fact,animal_type,diet,parks
Cabbage White Butterfly,Pieris rapae,https://images.pexels.com/photos/1246966/pexels-photo-1246966.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"A small, pale butterfly with white wings marked by black spots, commonly seen fluttering in gardens.",flutter or kaleidoscope,caterpillar,10 mph,1 year,0.44 lbs,0.15 inches,0.8 inches,"Gardens, fields, and urban areas","funnel web spiders, black widow spiders, mountain chickadees, ants",none,"Cabbage White butterflies are a major pest for cruciferous crops, but their caterpillars are a favorite of birds.",insect,"Nectar from clover, dandelions, and mustard plants","Rocky Mountain National Park, Yosemite National Park, Zion National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Two-tailed Swallowtail Butterfly,Papilio multicaudata,https://images.pexels.com/photos/67811/butterfly-swallowtail-papilio-animal-67811.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"A large, yellow butterfly with black tiger stripes and two distinctive tails on each hindwing, often found in the western United States.",flutter or kaleidoscope,caterpillar,15 mph,1 year,1.32 lbs,0.2 inches,1.5 inches,"Canyons, deserts, woodlands, and suburban areas","funnel web spiders, black widow spiders, mountain chickadees, ants",none,The Two-tailed Swallowtail is the state butterfly of Arizona and can often be seen soaring high in canyons.,insect,"Nectar from flowers such as lilac, thistle, and milkweed","Rocky Mountain National Park, Yosemite National Park, Zion National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Grasshopper,Caelifera,https://images.pexels.com/photos/289417/pexels-photo-289417.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"A small to medium-sized insect known for its powerful hind legs, which allow it to leap great distances.",cloud,nymph,8 mph,1 year,0.0044 lbs,0.35 inches,0.6 inches,"Grasslands, meadows, forests, and agricultural fields","coyotes, Black-billed Magpies, Steller's Jays, Mountain Bluebirds, Gray Jays, Mountain Chickadees, Western Fence Lizards, Garter Snake, Northern Leopard Frogs, Tiger Salamanders, Brown Recluse Spiders",none,"Grasshoppers communicate with each other by making chirping sounds through a process called stridulation, rubbing their wings or legs together.",insect,Herbivore,"Rocky Mountain National Park, Yosemite National Park, Zion National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Bumblebee,Bombus balteatus,https://images.pexels.com/photos/553251/pexels-photo-553251.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"A large, fuzzy bee commonly found in alpine meadows, known for its industrious pollination habits.","colony, swarm, or nest",larva,10 mph,1 year,0.044 lbs,0.1 inches,0.2 inches,Alpine meadows and wildflower fields,"black bears, raccoons",none,Mountain Bumblebees are vital pollinators for many high-altitude plants.,insect,Nectar and pollen,"Rocky Mountain National Park, Yosemite National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Honeybee,Apis mellifera,https://images.pexels.com/photos/460961/pexels-photo-460961.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"The well-known, industrious bee, often seen in gardens and orchards, recognized for its honey production.","hive, swarm, or colony",larva,15 mph,1 year,0.015 lbs,0.1 inches,0.2 inches,"Gardens, orchards, meadows","black bears, raccoons",none,Western Honeybees are essential for pollinating many of the world's food crops.,insect,Nectar and pollen,"Rocky Mountain National Park, Yosemite National Park, Zion National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Blue Dasher Dragonfly,Pachydiplax longipennis,https://images.pexels.com/photos/26867371/pexels-photo-26867371.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"A small, brightly colored dragonfly with blue markings, typically found in marshy areas.",swarm,naiad (aquatic nymph stage),15 mph,1 year,0.008 lbs,0.15 inches,0.5 inches,"Wetlands, ponds, marshes","Northern Leopard Frogs, rainbow trout","mayflies, mosquitoes",The Blue Dasher is known for its darting flight style as it hunts for prey.,insect,Insectivore,"Rocky Mountain National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Ruddy Darter Dragonfly,Sympetrum sanguineum,https://images.pexels.com/photos/17818750/pexels-photo-17818750.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"A vibrant dragonfly with red and black coloring, commonly seen near shallow ponds.",swarm,naiad (aquatic nymph stage),20 mph,1 year,0.01 lbs,0.2 inches,0.6 inches,"Ponds, lakes, wetlands","Northern Leopard Frogs, rainbow trout","mayflies, mosquitoes",Ruddy Darters are often found perching on low vegetation near water.,insect,Insectivore,"Rocky Mountain National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Mosquito,Culicidae,https://images.pexels.com/photos/1149668/pexels-photo-1149668.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"Small, slender-bodied insects with long legs and a proboscis used for feeding, often found in areas with stagnant water.",swarm,larva (also called a wriggler),1.5 mph,7 days,0.000002 lbs,0.05 inches,0.07 inches,"Wetlands, marshes, forests, and urban areas with standing water","bats, Ruddy Darter Dragonfly, Blue Dasher Dragonfly, Water Strider",none,"Only female mosquitoes bite and consume blood to develop their eggs, while males primarily feed on nectar.",insect,"Nectar, plant juices; females also consume blood for reproduction","Rocky Mountain National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Water Strider,Gerridae,https://images.pexels.com/photos/10460/pexels-photo-10460.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"Slender, long-legged insects that skim effortlessly across the surface of ponds and streams.",cluster,nymph,1.5 mph,6 months,0.002 lbs,0.1 inches,0.15 inches,"Ponds, streams, and calm water bodies","Western Painted Turtles, Northern Leopard Frogs",mosquitoes,Water striders can walk on water thanks to specialized water-repellent hairs on their legs.,insect,Insectivore,"Rocky Mountain National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Ant,Formicidae,https://images.pexels.com/photos/1104974/pexels-photo-1104974.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"Social insects that live in large colonies, with specialized roles for workers, soldiers, and queens.","colony, nest, or army (if marching)",larva,0.3 mph,Several weeks to years depending on species,0.00003 lbs,0.03 inches,0.1 inches,"Forests, meadows, underground colonies","bears, Mountain Bluebirds, Gray Jays, Mountain Chickadees, western fence lizards, Brown Recluse Spiders","Two-tailed Swallowtail butterflies, Cabbage White butterflies, Black Swallowtail butterflies, painted lady butterflies, Black Widow Spiders",Ants can carry objects 10-50 times their body weight.,insect,Omnivore,"Rocky Mountain National Park, Yellowstone National Park, Grand Canyon National Park, Great Smoky Mountains National Park"
Termite,Isoptera,https://images.pexels.com/photos/12895294/pexels-photo-12895294.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"Small, eusocial insects known for their wood-consuming behavior and significant ecological impact.",colony,larva,0.2 mph,1-2 years (workers); up to 20 years (queen),0.00003 lbs,0.02 inches,0.1 inches,"Dead wood, soil, underground colonies","Mountain Bluebird, Gray Jays, Mountain Chickadee, western fence lizards",none,"Termites are vital decomposers, recycling nutrients in ecosystems.",insect,Herbivore,"Rocky Mountain National Park, Great Smoky Mountains National Park"
Snowberry Clearwing Moth,Hemaris diffinis,https://images.pexels.com/photos/27985403/pexels-photo-27985403.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"A moth resembling a hummingbird with transparent wings, often found around flowering shrubs, particularly snowberries.",flutter or flight,caterpillar,15 mph,1 year,0.002 lbs,0.5 inches,0.2 inches,"Meadows, gardens, forest edges","bats, mountain bluebird, Gray Jays, Mountain Chickadees",none,"This moth's flight resembles a hummingbird's, with rapid wing beats allowing it to hover while feeding on nectar.",insect,Nectar,"Rocky Mountain National Park, Great Smoky Mountains National Park"
Black Widow Spider,Latrodectus mactans,https://images.pexels.com/photos/16326004/pexels-photo-16326004.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,A venomous spider with a distinctive red hourglass marking on its abdomen.,cluster or colony (rarely as they are solitary),spiderling,3 mph,3 years,0.002 lbs,0.3 inches,0.6 inches,"Dark, secluded areas such as sheds, basements, and woodpiles","western fence lizards, raccoons, ants","Two-tailed Swallowtail butterflies, Cabbage White butterflies, Black Swallowtail butterflies, painted lady butterflies","Black Widow Spiders are known for their potent venom, but bites are rarely fatal to humans.",arachnid,Insectivore,"Rocky Mountain National Park, Yosemite National Park, Zion National Park, Great Smoky Mountains National Park"
Brown Recluse Spider,Loxosceles reclusa,https://images.pexels.com/photos/26588223/pexels-photo-26588223.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"A venomous spider with a violin-shaped mark on its back, often found in undisturbed areas.",cluster or colony (rarely as they are solitary),spiderling,3 mph,2 years,0.002 lbs,0.3 inches,0.6 inches,"Woodpiles, basements, attics, closets","western fence lizards, northern leopard frogs","grasshoppers, ants",Brown Recluse Spiders are reclusive and only bite in self-defense.,arachnid,Insectivore,"Rocky Mountain National Park, Great Smoky Mountains National Park"
Funnel Web Spider,Agelenidae,https://images.pexels.com/photos/3761419/pexels-photo-3761419.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"A spider that spins a funnel-shaped web, often found in grassy areas.",cluster,spiderling,2 mph,1 year,0.003 lbs,0.3 inches,0.72 inches,"Grassy areas, forests, and gardens","western fence lizards, Tiger Salamander","Two-tailed Swallowtail butterflies, Cabbage White butterflies, Black Swallowtail butterflies, painted lady butterflies","Funnel Web Spiders are quick to respond to vibrations in their webs, often attacking prey within seconds.",arachnid,Insectivore,"Rocky Mountain National Park, Great Smoky Mountains National Park"
Deer Tick,Ixodes scapularis,https://images.pexels.com/photos/19068832/pexels-photo-19068832.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"A small tick, also known as the black-legged tick, that is a vector for Lyme disease and other illnesses.",bunch or infestation,larva,0.003 mph,2 years,0.002 lbs,0.02 inches,0.03 inches,"Forested areas, grassy meadows, and shrubby landscapes","Black-billed Magpie, raccoons, chickadees",none,Deer ticks are named for their preference to feed on deer but also target smaller mammals and humans.,arachnid,"Blood from mammals, reptiles, and birds","Rocky Mountain National Park, Great Smoky Mountains National Park"
Crayfish,Astacoidea,https://images.pexels.com/photos/17441481/pexels-photo-17441481.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,"Crayfish are freshwater crustaceans, resembling small lobsters, found in streams, rivers, and lakes. They play a vital role in the aquatic ecosystem.","troop, cast, or swarm",larva,0.5 mph,6 years,0.5 lbs,1.2 inches,2.5 inches,"Freshwater environments such as streams, rivers, ponds, and lakes","rainbow trout, western painted turtles, raccoons","mayflies",Crayfish have powerful claws that they use to defend themselves from predators and to catch prey.,Crustacean,Omnivore,"Rocky Mountain National Park, Yosemite National Park, Zion National Park, Great Smoky Mountains National Park"
